Token Type          Value               
----------------------------------------
int                 int                 
id                  n                   
assign              =                   
num                 3                   
float               float               
id                  f                   
assign              =                   
num                 56.7                
;                   ;                   
float               float               
id                  f2                  
assign              =                   
num                 5.67E1              
id                  x                   
id                  x                   
,                   ,                   
id                  x                   
num                 5                   
id                  n                   
if                  if                  
(                   (                   
id                  f                   
relop               >                   
num                 50                  
)                   )                   
{                   {                   
id                  f                   
assign              =                   
id                  f2                  
mulop               /                   
num                 2                   
}                   }                   
else                else                
{                   {                   
id                  f                   
assign              =                   
id                  f2                  
mulop               *                   
num                 2                   
}                   }                   
int                 int                 
id                  x                   
assign              =                   
num                 70                  
id                  e                   
id                  b                   
)                   )                   
;                   ;                   
int                 int                 
id                  x                   
assign              =                   
num                 70                  
id                  y                   
;                   ;                   
boolean             boolean             
id                  x                   
assign              =                   
num                 0                   
boolean             boolean             
id                  x                   
assign              =                   
id                  false               
